job_id,url,title,company,location,description,snippet,salary_min,salary_max,salary_text,job_type,work_model,department,company_size,qualifications,h1b_sponsored,is_new_grad,category,posted_date,scraped_at,source,raw_json
recKL9m4sYdWuzxU5,https://jobright.ai/jobs/info/692e28a84c474121999d6c04?utm_source=1099&utm_campaign=Software%20Engineer,Software Development Spring Intern,"Phoenix, Arizona",Hybrid,,"1. Currently enrolled in an accredited degree program (Computer Science, Computer Information Systems, or related field) 2. Passionate about software development and eager to learn 3. Strong foundation in object-oriented programming principles and at least one object-oriented programming language ...",,,$17-$17 /hr,Internship,,,,"1. Currently enrolled in an accredited degree program (Computer Science, Computer Information Systems, or related field) 2. Passionate about software development and eager to learn 3. Strong foundation in object-oriented programming principles and at least one object-oriented programming language ...",,,Software_Engineering,2025-12-01,2025-12-01T20:01:12.210681,intern-list.com (Airtable),"{'original_row_data': {'row_id': 'recKL9m4sYdWuzxU5', 'url': 'https://jobright.ai/jobs/info/692e28a84c474121999d6c04?utm_source=1099&utm_campaign=Software%20Engineer', 'date_posted': '2025-12-01', 'title': 'Software Development Spring Intern', 'location': 'Hybrid', 'company': 'Phoenix, Arizona', 'salary': '$17-$17 /hr', 'qualifications': '1. Currently enrolled in an accredited degree program (Computer Science, Computer Information Systems, or related field) 2. Passionate about software development and eager to learn 3. Strong foundation in object-oriented programming principles and at least one object-oriented programming language ...'}}"
rec2ZA6lkX4JsSpRH,https://jobright.ai/jobs/info/692e2792ef4b48533d13d1e2?utm_source=1099&utm_campaign=Software%20Engineer,Engineer Intern - Fall 2025,Semiconductor,"San Jose, CA",,1. Currently pursuing a BS or MS in Electronic Engineering Computer Science or related fields 2. Must have experience in C/C++ 3. Familiar with Data structures and algorithms ...,,,SK hynix memory solutions America Inc.,Internship,On Site,,,1. Currently pursuing a BS or MS in Electronic Engineering Computer Science or related fields 2. Must have experience in C/C++ 3. Familiar with Data structures and algorithms ...,,,Software_Engineering,2025-12-01,2025-12-01T20:01:12.353628,intern-list.com (Airtable),"{'original_row_data': {'row_id': 'rec2ZA6lkX4JsSpRH', 'url': 'https://jobright.ai/jobs/info/692e2792ef4b48533d13d1e2?utm_source=1099&utm_campaign=Software%20Engineer', 'date_posted': '2025-12-01', 'title': 'Engineer Intern - Fall 2025', 'work_model': 'On Site', 'location': 'San Jose, CA', 'salary': 'SK hynix memory solutions America Inc.', 'company': 'Semiconductor', 'qualifications': '1. Currently pursuing a BS or MS in Electronic Engineering Computer Science or related fields 2. Must have experience in C/C++ 3. Familiar with Data structures and algorithms ...'}}"
recf1feoxEPumxWtJ,https://jobright.ai/jobs/info/692e26ed4c474121999d6aa8?utm_source=1099&utm_campaign=Software%20Engineer,Software Engineering Intern (Circuit Simulation),SAN JOSE,Cadence,,"1. Applicant must possess a working knowledge of various Machine Learning techniques such as linear regression, classification, clustering, decision trees, and neural networks. 2. Have practical experience with ML libraries, such as Sklearn and PyTorch. 3. Solid understanding of statistics is a plus. ...",,,,Internship,On Site,,,"1. Applicant must possess a working knowledge of various Machine Learning techniques such as linear regression, classification, clustering, decision trees, and neural networks. 2. Have practical experience with ML libraries, such as Sklearn and PyTorch. 3. Solid understanding of statistics is a plus. ...",,,Software_Engineering,2025-12-01,2025-12-01T20:01:12.477825,intern-list.com (Airtable),"{'original_row_data': {'row_id': 'recf1feoxEPumxWtJ', 'url': 'https://jobright.ai/jobs/info/692e26ed4c474121999d6aa8?utm_source=1099&utm_campaign=Software%20Engineer', 'date_posted': '2025-12-01', 'title': 'Software Engineering Intern (Circuit Simulation)', 'work_model': 'On Site', 'company': 'SAN JOSE', 'location': 'Cadence', 'qualifications': '1. Applicant must possess a working knowledge of various Machine Learning techniques such as linear regression, classification, clustering, decision trees, and neural networks. 2. Have practical experience with ML libraries, such as Sklearn and PyTorch. 3. Solid understanding of statistics is a plus. ...'}}"
rec0WBIWVm0CmijqT,https://jobright.ai/jobs/info/692e200eef4b48533d13ccf4?utm_source=1099&utm_campaign=Software%20Engineer,Software Engineering Intern - Circuit Simulation infrastructure,Cadence,"Multi Location San Jose, CA SAN JOSE",,"1. Previous exposure to the circuit simulation area 2. Experience in EDA-relevant software development, particularly C/C++ unix development 3. Background in EDA algorithms based on graph theory, or software optimization ...",,,,Internship,On Site,,,"1. Previous exposure to the circuit simulation area 2. Experience in EDA-relevant software development, particularly C/C++ unix development 3. Background in EDA algorithms based on graph theory, or software optimization ...",,,Software_Engineering,2025-12-01,2025-12-01T20:01:12.602296,intern-list.com (Airtable),"{'original_row_data': {'row_id': 'rec0WBIWVm0CmijqT', 'url': 'https://jobright.ai/jobs/info/692e200eef4b48533d13ccf4?utm_source=1099&utm_campaign=Software%20Engineer', 'date_posted': '2025-12-01', 'title': 'Software Engineering Intern - Circuit Simulation infrastructure', 'work_model': 'On Site', 'location': 'Multi Location San Jose, CA SAN JOSE', 'company': 'Cadence', 'qualifications': '1. Previous exposure to the circuit simulation area 2. Experience in EDA-relevant software development, particularly C/C++ unix development 3. Background in EDA algorithms based on graph theory, or software optimization ...'}}"
recMiyxtQqwF7wXZO,https://jobright.ai/jobs/info/692e1f454c474121999d6593?utm_source=1099&utm_campaign=Software%20Engineer,"Software Engineer Internship (Hybrid, Toronto)",OpenTable,Hybrid,,"1. Currently pursuing an undergraduate degree in Computer Science, Engineering, or related technical field. Expected to graduate by Spring 2027. 2. Solid computer science fundamentals and strong programming skills 3. Hands-on experience with at least one modern technology: JavaScript (Angular, React, or Node.js), HTML, CSS, or Java. ...",,,CAD42-CAD42 /hr,Internship,,,,"1. Currently pursuing an undergraduate degree in Computer Science, Engineering, or related technical field. Expected to graduate by Spring 2027. 2. Solid computer science fundamentals and strong programming skills 3. Hands-on experience with at least one modern technology: JavaScript (Angular, React, or Node.js), HTML, CSS, or Java. ...",,,Software_Engineering,2025-12-01,2025-12-01T20:01:12.716889,intern-list.com (Airtable),"{'original_row_data': {'row_id': 'recMiyxtQqwF7wXZO', 'url': 'https://jobright.ai/jobs/info/692e1f454c474121999d6593?utm_source=1099&utm_campaign=Software%20Engineer', 'date_posted': '2025-12-01', 'title': 'Software Engineer Internship (Hybrid, Toronto)', 'location': 'Hybrid', 'company': 'OpenTable', 'salary': 'CAD42-CAD42 /hr', 'qualifications': '1. Currently pursuing an undergraduate degree in Computer Science, Engineering, or related technical field. Expected to graduate by Spring 2027. 2. Solid computer science fundamentals and strong programming skills 3. Hands-on experience with at least one modern technology: JavaScript (Angular, React, or Node.js), HTML, CSS, or Java. ...'}}"
recm1Acz6RI4drUbm,https://jobright.ai/jobs/info/692e198eef4b48533d13c84b?utm_source=1099&utm_campaign=Software%20Engineer,"Senior Full Stack Developer Internship (Next.js, Node.js, PostgreSQL)",United States,Remote,,"1. Minimum 4 years of professional experience as a Full Stack Developer. 2. Strong proficiency in Next.js, Express.js, MongoDB, and RESTful API development. 3. Experience in responsive UI/UX implementation using Tailwind CSS. ...",,,,Internship,,,,"1. Minimum 4 years of professional experience as a Full Stack Developer. 2. Strong proficiency in Next.js, Express.js, MongoDB, and RESTful API development. 3. Experience in responsive UI/UX implementation using Tailwind CSS. ...",,,Software_Engineering,2025-12-01,2025-12-01T20:01:12.840282,intern-list.com (Airtable),"{'original_row_data': {'row_id': 'recm1Acz6RI4drUbm', 'url': 'https://jobright.ai/jobs/info/692e198eef4b48533d13c84b?utm_source=1099&utm_campaign=Software%20Engineer', 'date_posted': '2025-12-01', 'title': 'Senior Full Stack Developer Internship (Next.js, Node.js, PostgreSQL)', 'location': 'Remote', 'company': 'United States', 'qualifications': '1. Minimum 4 years of professional experience as a Full Stack Developer. 2. Strong proficiency in Next.js, Express.js, MongoDB, and RESTful API development. 3. Experience in responsive UI/UX implementation using Tailwind CSS. ...'}}"
recBd1ecX5erRucLm,https://jobright.ai/jobs/info/692e1976ef4b48533d13c83d?utm_source=1099&utm_campaign=Software%20Engineer,INTERNSHIP - Software Engineer,Dassault Systèmes,Hybrid,,"1. BS in Computer Science or a related field 2. Experience with scripting languages, preferably but not limited to, Python, familiarity with C++ and Javascript 3. Familiarity software testing ...",,,$22-$40 /hr,Internship,,,,"1. BS in Computer Science or a related field 2. Experience with scripting languages, preferably but not limited to, Python, familiarity with C++ and Javascript 3. Familiarity software testing ...",,,Software_Engineering,2025-12-01,2025-12-01T20:01:12.959653,intern-list.com (Airtable),"{'original_row_data': {'row_id': 'recBd1ecX5erRucLm', 'url': 'https://jobright.ai/jobs/info/692e1976ef4b48533d13c83d?utm_source=1099&utm_campaign=Software%20Engineer', 'date_posted': '2025-12-01', 'title': 'INTERNSHIP - Software Engineer', 'location': 'Hybrid', 'company': 'Dassault Systèmes', 'salary': '$22-$40 /hr', 'qualifications': '1. BS in Computer Science or a related field 2. Experience with scripting languages, preferably but not limited to, Python, familiarity with C++ and Javascript 3. Familiarity software testing ...'}}"
recg0TDChNUoKEqm1,https://jobright.ai/jobs/info/692e1909ef4b48533d13c7f0?utm_source=1099&utm_campaign=Software%20Engineer,2026 Mission Assurance Engineer Intern - Chandler AZ,Northrop Grumman Australia,United States-Arizona-Chandler,,"1. Be a student who is enrolled full-time and pursuing an undergraduate or graduate degree from an accredited college/university and will be enrolled full time in Fall 2026 2. Be majoring in a STEM (Science, Technology, Engineering or Math) 3. Be available to work full-time (40 hours per week) for at least 10 weeks during summer 2026. ...",,,$25.50-$40.50 /hr,Internship,On Site,,,"1. Be a student who is enrolled full-time and pursuing an undergraduate or graduate degree from an accredited college/university and will be enrolled full time in Fall 2026 2. Be majoring in a STEM (Science, Technology, Engineering or Math) 3. Be available to work full-time (40 hours per week) for at least 10 weeks during summer 2026. ...",,,Software_Engineering,2025-12-01,2025-12-01T20:01:13.070750,intern-list.com (Airtable),"{'original_row_data': {'row_id': 'recg0TDChNUoKEqm1', 'url': 'https://jobright.ai/jobs/info/692e1909ef4b48533d13c7f0?utm_source=1099&utm_campaign=Software%20Engineer', 'date_posted': '2025-12-01', 'title': '2026 Mission Assurance Engineer Intern - Chandler AZ', 'work_model': 'On Site', 'location': 'United States-Arizona-Chandler', 'company': 'Northrop Grumman Australia', 'salary': '$25.50-$40.50 /hr', 'qualifications': '1. Be a student who is enrolled full-time and pursuing an undergraduate or graduate degree from an accredited college/university and will be enrolled full time in Fall 2026 2. Be majoring in a STEM (Science, Technology, Engineering or Math) 3. Be available to work full-time (40 hours per week) for at least 10 weeks during summer 2026. ...'}}"
recKSDvLG4AstkZ32,https://jobright.ai/jobs/info/691654259c388539cbdf9fc1?utm_source=1099&utm_campaign=Software%20Engineer,"Intern, R&D Undergraduate Summer - TITANS SW, Onsite",Sandia National Laboratories,Hybrid,,"1. Currently attending and enrolled full time in the spring term immediately preceding the internship (or scheduled to graduate in the spring) in an accredited undergraduate program 2. Pursuing a science, engineering, or math major 3. Minimum cumulative GPA of 3.0/4.0 ...",,,,Internship,,,,"1. Currently attending and enrolled full time in the spring term immediately preceding the internship (or scheduled to graduate in the spring) in an accredited undergraduate program 2. Pursuing a science, engineering, or math major 3. Minimum cumulative GPA of 3.0/4.0 ...",,,Software_Engineering,2025-12-01,2025-12-01T20:01:13.182487,intern-list.com (Airtable),"{'original_row_data': {'row_id': 'recKSDvLG4AstkZ32', 'url': 'https://jobright.ai/jobs/info/691654259c388539cbdf9fc1?utm_source=1099&utm_campaign=Software%20Engineer', 'date_posted': '2025-12-01', 'title': 'Intern, R&D Undergraduate Summer - TITANS SW, Onsite', 'location': 'Hybrid', 'company': 'Sandia National Laboratories', 'qualifications': '1. Currently attending and enrolled full time in the spring term immediately preceding the internship (or scheduled to graduate in the spring) in an accredited undergraduate program 2. Pursuing a science, engineering, or math major 3. Minimum cumulative GPA of 3.0/4.0 ...'}}"
recnbHEPpBv7rmEfL,https://jobright.ai/jobs/info/692e0c0cfa28370be26a0ac6?utm_source=1099&utm_campaign=Software%20Engineer,"Computer Engineering Intern, TFE Service Team",StandardAero,"707 Flight Road, Winnipeg, MB, R3H 1C6, CA",,"1. Strong planning, organizational, analytical, leadership, interpersonal, decision making, oral and written communication skills. 2. Basic understanding of programming languages 3. 1+ years of experience with computers and MS Office experience/knowledge. ...",,,,Internship,On Site,,,"1. Strong planning, organizational, analytical, leadership, interpersonal, decision making, oral and written communication skills. 2. Basic understanding of programming languages 3. 1+ years of experience with computers and MS Office experience/knowledge. ...",,,Software_Engineering,2025-12-01,2025-12-01T20:01:13.304077,intern-list.com (Airtable),"{'original_row_data': {'row_id': 'recnbHEPpBv7rmEfL', 'url': 'https://jobright.ai/jobs/info/692e0c0cfa28370be26a0ac6?utm_source=1099&utm_campaign=Software%20Engineer', 'date_posted': '2025-12-01', 'title': 'Computer Engineering Intern, TFE Service Team', 'work_model': 'On Site', 'location': '707 Flight Road, Winnipeg, MB, R3H 1C6, CA', 'company': 'StandardAero', 'qualifications': '1. Strong planning, organizational, analytical, leadership, interpersonal, decision making, oral and written communication skills. 2. Basic understanding of programming languages 3. 1+ years of experience with computers and MS Office experience/knowledge. ...'}}"
